id,first_name,last_name,visa_type,passport_number,nationality,state,destination country,destination state,gender,age,entry date,degree_type,major,exit date,institution,estimated expenses,start_date,end_date,transportion mode
1,Courtenay,Belsham,Student,8769041273,India,Gujarat,United States,Louisiana,F,18,8/5/2023,Bachelor's,Psychology,12/22/2023,New Mexico State University,$20777.83,1/8/2023,12/23/2024,air
2,Sibella,Di Gregorio,Student,4142172652,India,Uttar Pradesh,United States,Texas,F,22,8/9/2023,Master's,Business Administration,7/5/2023,Evangel University,$16455.36,1/12/2023,3/21/2024,air
3,Gelya,Brislan,Student,6866085142,India,Uttar Pradesh,United States,Texas,F,34,9/4/2023,Master's,Psychology,2/5/2023,United States Merchant Marine Academy,$20594.42,1/22/2023,5/8/2025,air
4,Tirrell,Strother,Student,2352194663,India,Gujarat,United States,Georgia,M,30,8/20/2023,Master's,Business Administration,1/13/2023,California School of Professional Psychology - Los Angels,$17100.93,1/30/2023,9/2/2024,air
5,Karee,Holdworth,Student,9596602932,India,Andhra Pradesh,United States,New Jersey,F,23,9/11/2023,Master's,Business Administration,10/31/2023,Angelo State University,$20022.91,1/3/2023,5/7/2025,air
6,Fayre,McGinney,Student,2777196889,India,Uttar Pradesh,United States,Maryland,F,35,8/6/2023,Bachelor's,Computer Science,5/27/2023,Central College,$21480.99,1/16/2023,9/1/2024,air
7,Dari,Edlyn,Student,9708268868,India,Uttar Pradesh,United States,Virginia,F,28,8/29/2023,Master's,Business Administration,3/9/2024,United States Military Academy,$14907.40,1/27/2023,4/24/2024,air
8,Carolee,Stollberg,Student,6597390229,India,Uttar Pradesh,United States,Arkansas,F,30,9/12/2023,Bachelor's,Computer Science,6/18/2024,"St. Francis College, Loretto",$21904.43,1/14/2023,1/19/2024,air
9,Kattie,Gentil,Student,3217351589,India,Andhra Pradesh,United States,Minnesota,F,25,8/8/2023,Master's,Computer Science,4/26/2024,Northwest College of Art,$14157.48,1/17/2023,2/6/2025,air
10,De witt,Philippard,Student,3245907135,India,Uttar Pradesh,United States,New York,M,26,8/3/2023,Master's,Psychology,3/28/2023,State University of New York at Oswego,$15925.04,1/29/2023,5/8/2024,air
11,Pearce,McCosh,Student,5607896213,India,Andhra Pradesh,United States,North Carolina,M,25,8/28/2023,Master's,Computer Science,2/18/2025,Spertus Institute of Jewish Studies,$14838.39,1/5/2023,2/24/2025,air
12,Darcy,Vanyard,Student,7424435810,India,Uttar Pradesh,United States,Florida,F,33,8/10/2023,Master's,Business Administration,11/12/2023,Calvin College,$15462.60,1/5/2023,7/5/2024,air
13,Amalee,Jury,Student,6873420448,India,Gujarat,United States,California,F,22,8/10/2023,Master's,Business Administration,8/11/2023,Lipscomb University,$14601.34,1/1/2023,5/25/2025,air
14,Hildegarde,Maha,Student,7301104188,India,Andhra Pradesh,United States,District of Columbia,F,24,8/19/2023,Master's,Business Administration,1/9/2025,"Davenport College of Business, Kalamazoo",$13757.69,1/25/2023,9/24/2024,air
15,Analiese,De Miranda,Student,8828204950,India,Gujarat,United States,Texas,F,26,8/21/2023,Master's,Business Administration,4/9/2025,Grove City College,$14349.26,1/9/2023,9/22/2024,air
