id,first_name,last_name,gender,age,visa_type,passport_number,nationality,state,destination country,destination state,entry date,exit date,estimated expenses,transportion mode,degree_type,major,institution,start_date,end_date,visa_sub_type,,,,,,,,,,,,,,,,,,
1,Ettore,Trusler,M,29,Student,2454532774,Taiwan,,United States,New York,08/12/23,09/07/23,$13213.41,air,Master's,Business Administration,University of North America,01/07/23,3/13/2025,,,,,,,,,,,,,,,,,,,
2,Harriette,Deere,F,33,Student,4871431576,Taiwan,,United States,California,8/21/2023,4/24/2024,$17627.99,air,Master's,Business Administration,Eastern Washington University,1/26/2023,8/30/2024,,,,,,,,,,,,,,,,,,,
3,Ardys,Gipps,F,24,Student,9273248030,Taiwan,,United States,California,8/21/2023,1/28/2024,$11273.78,air,Master's,Computer Science,"National American University, Kansas City",1/30/2023,1/14/2025,,,,,,,,,,,,,,,,,,,
4,Carlyle,Roullier,M,19,Student,1703464291,Taiwan,,United States,California,9/13/2023,11/21/2024,$20791.94,air,Master's,Psychology,DePauw University,1/22/2023,8/22/2024,,,,,,,,,,,,,,,,,,,
5,Abigail,Gautrey,F,29,Student,3283326348,Taiwan,,United States,New Mexico,8/29/2023,9/30/2024,$15334.77,air,Master's,Computer Science,Clarkson College,1/15/2023,4/18/2024,,,,,,,,,,,,,,,,,,,
6,Cyndie,Rhoades,F,35,Student,3257743707,Taiwan,,United States,Kansas,08/06/23,1/23/2023,$15044.60,air,Master's,Psychology,Western New England College,1/28/2023,4/17/2024,,,,,,,,,,,,,,,,,,,
7,Harlen,Wyer,M,35,Student,9482411589,Taiwan,,United States,Delaware,09/05/23,6/17/2024,$23185.44,air,Master's,Computer Science,ICI University,01/03/23,02/12/24,,,,,,,,,,,,,,,,,,,
8,Cad,Garvan,M,19,Student,5169669161,Taiwan,,United States,Oklahoma,8/22/2023,11/14/2023,$15479.87,air,Master's,Computer Science,University of Texas Health Center at Houston,01/02/23,4/17/2025,,,,,,,,,,,,,,,,,,,
9,Pancho,Gerwood,M,20,Student,5674548202,Taiwan,,United States,Missouri,09/08/23,8/18/2024,$22836.50,air,Master's,Computer Science,Design Institute of San Diego,1/13/2023,07/12/24,,,,,,,,,,,,,,,,,,,
10,Kirsteni,Sherwen,F,32,Student,7882266263,Taiwan,,United States,Georgia,09/06/23,1/25/2025,$12372.36,air,Master's,Computer Science,Pennsylvania State University at Harrisburg - The Capital College,01/11/23,3/18/2024,,,,,,,,,,,,,,,,,,,
11,Lorine,Meaking,F,31,Student,6638851828,Taiwan,,United States,New York,8/24/2023,02/05/23,$16448.01,air,Master's,Computer Science,International Academy of  Merchandising and Design Chicago,1/14/2023,06/04/24,,,,,,,,,,,,,,,,,,,
12,Kiele,Hinstridge,F,32,Student,7119696163,Taiwan,,United States,Florida,09/04/23,01/09/25,$15286.11,air,Master's,Computer Science,John F. Kennedy University,01/04/23,5/21/2025,,,,,,,,,,,,,,,,,,,
13,Darnell,Jansa,M,30,Student,2621731713,Taiwan,,United States,Tennessee,09/02/23,12/22/2024,$16505.81,air,Master's,Business Administration,State University of New York College at Cortland,1/28/2023,3/20/2024,,,,,,,,,,,,,,,,,,,
14,Kellie,De Rye Barrett,F,27,Student,2112602183,Taiwan,,United States,District of Columbia,08/04/23,4/26/2023,$23326.34,air,Master's,Computer Science,San Jose Christian College,1/18/2023,01/04/24,,,,,,,,,,,,,,,,,,,
15,Hayward,Egginson,M,19,Student,1421992934,Taiwan,,United States,Texas,09/11/23,1/27/2025,$24203.84,air,Master's,Computer Science,University of La Verne,01/06/23,4/15/2024,,,,,,,,,,,,,,,,,,,
16,Maryjo,Antoshin,F,27,Student,8722444858,Taiwan,,United States,Nevada,8/16/2023,8/27/2023,$20910.14,air,Master's,Business Administration,Marshall University,1/25/2023,01/12/25,,,,,,,,,,,,,,,,,,,
17,Melva,Barbrook,F,19,Student,8068465133,Taiwan,,United States,Texas,09/06/23,06/05/24,$17341.07,air,Master's,Business Administration,Friends University,01/05/23,8/14/2024,,,,,,,,,,,,,,,,,,,
18,Patrice,Babinski,F,21,Student,1092490135,Taiwan,,United States,Texas,8/28/2023,04/04/24,$19103.99,air,Master's,Computer Science,New England School of Communications,1/19/2023,4/29/2024,,,,,,,,,,,,,,,,,,,
19,Jasper,Calcutt,M,33,Student,3705821819,Taiwan,,United States,Maryland,08/10/23,2/23/2023,$10732.95,air,Master's,Computer Science,Southern Wesleyan University,1/18/2023,6/25/2024,,,,,,,,,,,,,,,,,,,
20,Riobard,Impett,M,21,Student,8490481756,Taiwan,,United States,Alabama,09/01/23,11/29/2023,$14087.07,air,Master's,Psychology,Valley Forge Christian College,1/15/2023,5/24/2024,,,,,,,,,,,,,,,,,,,
21,Corabelle,Beat,F,30,Student,7635429979,Taiwan,,United States,Minnesota,8/27/2023,5/21/2024,$17881.08,air,Master's,Computer Science,Community College of Denver,1/15/2023,7/26/2024,,,,,,,,,,,,,,,,,,,
22,Dimitry,Berre,M,30,Student,2358870787,Taiwan,,United States,New York,09/06/23,9/27/2023,$15364.00,air,Master's,Computer Science,Southeastern Oklahoma State University,1/21/2023,09/11/24,,,,,,,,,,,,,,,,,,,
23,Sherlocke,Alanbrooke,M,31,Student,1285036987,Taiwan,,United States,Arizona,8/30/2023,12/06/23,$16313.04,air,Master's,Business Administration,Ohio University - Eastern,01/12/23,4/14/2024,,,,,,,,,,,,,,,,,,,
