id,first_name,last_name,visa_type,passport_number,nationality,state,destination_country,destination_state,gender,age,entry_date,degree_type,major,institution,estimated_expense,start_date,end_date,transportation_mode
1,Robinet,Petroff,Student,6972067153,United States,Alabama,Japan,,M,31,9/11/2023,Bachelor's,Computer Science,Shizuoka Prefectural University,¥4131563.33,1/12/2023,2/7/2024,air
2,Karel,Wayne,Student,5375770835,United States,Washington,Japan,,F,24,8/17/2023,Master's,Business Administration,Kyoto Tachibana Women's University,¥1859749.44,1/7/2023,5/29/2025,land
3,Joshia,MacAvddy,Student,7587667273,United States,Kansas,Japan,,M,26,9/1/2023,Master's,Computer Science,Nippon Bunri University,¥4056414.23,1/21/2023,2/22/2024,air
4,Bev,Watterson,Student,8038075950,United States,Alabama,Japan,,M,30,8/28/2023,Master's,Computer Science,Josai University,¥4218750.75,1/29/2023,5/12/2025,air
5,Fredelia,O'Feeny,Student,4151838690,United States,Virginia,Japan,,F,29,8/11/2023,Bachelor's,Psychology,Musashino Academy of Music,¥3494065.87,1/17/2023,4/21/2024,air
6,Culver,Korneichik,Student,5301617263,United States,Arizona,Japan,,M,22,9/12/2023,Master's,Computer Science,Kyushu Women's University,¥1394292.49,1/25/2023,9/29/2024,land
7,Hillel,Lisciandri,Student,4524041505,United States,Arizona,Japan,,M,24,8/15/2023,Master's,Psychology,Sanno University,¥3989710.78,1/5/2023,2/20/2024,land
8,Cornelia,O'Kane,Student,9876497605,United States,California,Japan,,F,35,8/15/2023,Master's,Computer Science,Toho Gakuen School of Music,¥2618641.39,1/1/2023,9/7/2024,air
9,Gardner,Wintersgill,Student,8111439828,United States,Texas,Japan,,M,21,9/13/2023,Master's,Business Administration,Okayama Shoka University,¥4239077.93,1/1/2023,3/13/2024,air
10,Rochelle,Birt,Student,1378387687,United States,Arizona,Japan,,F,35,8/26/2023,Bachelor's,Computer Science,Suzuka University of Medical Science,¥4362010.49,1/4/2023,11/10/2024,air
11,Walker,Sherland,Student,3674938429,United States,California,Japan,,M,34,8/11/2023,Bachelor's,Psychology,Fukushima Medical College,¥3851012.32,1/11/2023,3/28/2025,air
12,Martynne,Pye,Student,3435650927,United States,Minnesota,Japan,,F,18,8/5/2023,Master's,Business Administration,Kwansei Gakuin University,¥1363539.00,1/11/2023,3/25/2025,air
13,Paulo,Tassell,Student,6874755141,United States,Florida,Japan,,M,29,8/23/2023,Master's,Computer Science,Fukuyama Heisei University,¥2241784.41,1/11/2023,8/11/2024,air
14,Brandie,Kyles,Student,4183026641,United States,Texas,Japan,,F,32,9/7/2023,Bachelor's,Computer Science,Tokyo Gakugei University,¥1565096.76,1/25/2023,2/1/2025,land
15,Katrinka,Pleaden,Student,3851492493,United States,New York,Japan,,F,20,8/17/2023,Bachelor's,Computer Science,Aichi Gakusen University,¥3060006.57,1/14/2023,3/22/2025,air
